---------------------------------------------------------------LOG FILE----------------------------------------------------------------
image file: Real_data_1.eps
script file: fmincon_least_squares_real.m
MaxFunctionEvaluations = 3000
initial guess = piecewise linear
objective function = objective_2norm_real

Your initial point x0 is not between bounds lb and ub; FMINCON
shifted x0 to strictly satisfy the bounds.

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
    0     117    2.379792e-01    0.000e+00    1.442e+00
    1     234    1.091283e-01    0.000e+00    3.788e-02    1.009e+00
    2     351    6.095374e-02    0.000e+00    1.217e-02    2.138e+00
    3     468    2.797474e-02    0.000e+00    1.121e-02    5.652e+00
    4     585    2.309302e-02    0.000e+00    1.417e-02    1.269e+01
    5     702    2.381424e-02    0.000e+00    1.383e-02    1.541e+00
    6     819    2.369980e-02    0.000e+00    1.318e-02    1.596e-01
    7     936    2.245133e-02    0.000e+00    1.372e-02    2.110e+00
    8    1053    2.051725e-02    0.000e+00    1.360e-02    5.644e+00
    9    1170    2.073494e-02    0.000e+00    1.414e-02    2.354e+00
   10    1287    2.046279e-02    0.000e+00    1.411e-02    2.229e-02
   11    1404    1.910976e-02    0.000e+00    1.358e-02    1.385e-01
   12    1521    1.706487e-02    0.000e+00    3.372e-02    5.185e-01
   13    1638    1.626765e-02    0.000e+00    1.041e-02    4.061e+00
   14    1755    1.556107e-02    0.000e+00    6.348e-03    1.090e+00
   15    1872    1.555764e-02    0.000e+00    1.384e-02    1.361e+00
   16    1989    1.528272e-02    0.000e+00    1.627e-03    3.900e-01
   17    2106    1.526894e-02    0.000e+00    1.641e-03    1.540e-01
   18    2223    1.526263e-02    0.000e+00    3.014e-03    9.969e-02
   19    2340    1.524419e-02    0.000e+00    4.213e-03    6.687e-02
   20    2457    1.515056e-02    0.000e+00    7.608e-03    1.231e-01
   21    2574    1.490248e-02    0.000e+00    1.311e-02    2.280e-01
   22    2691    1.407509e-02    0.000e+00    2.600e-02    8.535e-01
   23    2808    1.112460e-02    0.000e+00    6.511e-02    2.913e+00
   24    2926    9.176027e-03    0.000e+00    9.519e-02    1.960e+00
   25    3043    6.111421e-03    0.000e+00    5.560e-02    2.887e+00

Solver stopped prematurely.

fmincon stopped because it exceeded the function evaluation limit,
options.MaxFunctionEvaluations = 3000 (the default value).
